time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043666.18123412,0.01088003,0.00183236,0.00000472,3146.00000000,0.01085424,0.000000,0.000000
1609043666.25863242,0.01085698,0.00104384,0.00000278,3153.00000000,0.00606350,0.000000,0.000000
1609043666.36010218,0.01086011,0.00222433,0.00000521,3159.00000000,0.01151425,0.000000,0.000000
1609043666.46415854,0.01084568,0.00145578,0.00000381,3170.00000000,0.00781469,0.000000,0.000000
1609043666.56632638,0.01089786,0.00392215,0.00001000,3176.00000000,0.02190796,0.000000,0.000000
1609043666.66915679,0.01087211,0.00094286,0.00000247,3192.00000000,0.00541199,0.000000,0.000000
1609043666.77240443,0.01092307,0.00389644,0.00001001,3208.00000000,0.02177755,0.000000,0.000000
1609043666.87615228,0.01090318,0.00120768,0.00000299,3215.00000000,0.00664711,0.000000,0.000000
1609043666.97857809,0.01090721,0.00209649,0.00000540,3202.00000000,0.01177332,0.000000,0.000000
1609043667.08244276,0.01089211,0.00124122,0.00000323,3201.00000000,0.00763126,0.000000,0.000000
1609043667.18471670,0.01093678,0.00390153,0.00000996,3201.00000000,0.02063130,0.000000,0.000000
1609043667.25656605,0.01090807,0.00086596,0.00000227,3208.00000000,0.00464866,0.000000,0.000000
1609043667.35899425,0.01090261,0.00180550,0.00000474,3203.00000000,0.00970754,0.000000,0.000000
1609043667.46070170,0.01088088,0.00106871,0.00000278,3199.00000000,0.00609862,0.000000,0.000000
1609043667.56371379,0.01085901,0.00106334,0.00000277,3199.00000000,0.00602624,0.000000,0.000000
1609043667.66585469,0.01090377,0.00379515,0.00000933,3201.00000000,0.02084065,0.000000,0.000000
1609043667.76917529,0.01088414,0.00105089,0.00000279,3208.00000000,0.00650761,0.000000,0.000000
1609043667.87462401,0.01093258,0.00394558,0.00000996,3214.00000000,0.02178263,0.000000,0.000000
1609043667.98183656,0.01091059,0.00109004,0.00000270,3215.00000000,0.00596332,0.000000,0.000000
1609043668.08487678,0.01096128,0.00393842,0.00001013,3237.00000000,0.02241582,0.000000,0.000000
1609043668.15687203,0.01093485,0.00087329,0.00000226,3242.00000000,0.00493653,0.000000,0.000000
1609043668.25773883,0.01091927,0.00129696,0.00000337,3228.00000000,0.00736628,0.000000,0.000000
1609043668.36969829,0.01090839,0.00149532,0.00000385,3227.00000000,0.00841748,0.000000,0.000000
1609043668.47245002,0.01093871,0.00346965,0.00000802,3218.00000000,0.01791105,0.000000,0.000000
1609043668.57615399,0.01091415,0.00091591,0.00000239,3220.00000000,0.00524172,0.000000,0.000000
1609043668.67951035,0.01096196,0.00403652,0.00001006,3231.00000000,0.02205396,0.000000,0.000000
1609043668.75843930,0.01093286,0.00077319,0.00000203,3228.00000000,0.00415147,0.000000,0.000000
1609043668.86140203,0.01091044,0.00108356,0.00000256,3235.00000000,0.00566522,0.000000,0.000000
1609043668.96753120,0.01096247,0.00383203,0.00001002,3229.00000000,0.02318865,0.000000,0.000000
1609043669.07534266,0.01093362,0.00073135,0.00000185,3235.00000000,0.00412457,0.000000,0.000000
1609043669.17845654,0.01097337,0.00273777,0.00000838,3252.00000000,0.02039550,0.000000,0.000000
1609043669.28304172,0.01095664,0.00115730,0.00000304,3265.00000000,0.00697432,0.000000,0.000000
1609043669.35658932,0.01094406,0.00153094,0.00000386,3269.00000000,0.00793645,0.000000,0.000000
1609043669.45837760,0.01092822,0.00128538,0.00000324,3273.00000000,0.00712696,0.000000,0.000000
1609043669.56132627,0.01092448,0.00192762,0.00000456,3265.00000000,0.01002440,0.000000,0.000000
1609043669.66467261,0.01092502,0.00208119,0.00000546,3275.00000000,0.01105500,0.000000,0.000000
1609043669.76779771,0.01090735,0.00116509,0.00000302,3283.00000000,0.00661451,0.000000,0.000000
1609043669.87074089,0.01090355,0.00184022,0.00000450,3293.00000000,0.00997443,0.000000,0.000000
1609043669.97476864,0.01094916,0.00330995,0.00001031,3273.00000000,0.02212416,0.000000,0.000000
1609043670.07735705,0.01092146,0.00070355,0.00000187,3285.00000000,0.00410718,0.000000,0.000000
1609043670.18048191,0.01097185,0.00099039,0.00000291,3295.00000000,0.02341857,0.000000,0.000000
1609043670.28283954,0.01096288,0.00157158,0.00000388,3299.00000000,0.00873902,0.000000,0.000000
1609043670.38595557,0.01100203,0.00411930,0.00000898,3287.00000000,0.02074971,0.000000,0.000000
1609043670.45644927,0.01097602,0.00076840,0.00000207,3298.00000000,0.00447477,0.000000,0.000000
1609043670.55837417,0.01096683,0.00165471,0.00000390,3307.00000000,0.00866005,0.000000,0.000000
1609043670.66140580,0.01095562,0.00153888,0.00000366,3303.00000000,0.00813033,0.000000,0.000000
1609043670.76457167,0.01094142,0.00136345,0.00000322,3309.00000000,0.00734834,0.000000,0.000000
1609043670.86765432,0.01098465,0.00398428,0.00001021,3319.00000000,0.02196518,0.000000,0.000000
1609043670.97094846,0.01096397,0.00106760,0.00000274,3306.00000000,0.00569111,0.000000,0.000000
1609043671.07426858,0.01097878,0.00189689,0.00000680,3306.00000000,0.01477045,0.000000,0.000000
1609043671.17755318,0.01096008,0.00108045,0.00000281,3310.00000000,0.00615238,0.000000,0.000000
1609043671.28049946,0.01100313,0.00409384,0.00001021,3315.00000000,0.02211108,0.000000,0.000000
1609043671.38446951,0.01098837,0.00131411,0.00000327,3312.00000000,0.00716478,0.000000,0.000000
1609043671.48980618,0.01098340,0.00171768,0.00000434,3318.00000000,0.00969066,0.000000,0.000000
1609043671.55811310,0.01096128,0.00096980,0.00000255,3326.00000000,0.00519031,0.000000,0.000000
1609043671.65851569,0.01095916,0.00183152,0.00000482,3326.00000000,0.01040274,0.000000,0.000000
1609043671.76177740,0.01094194,0.00125067,0.00000286,3330.00000000,0.00641392,0.000000,0.000000
1609043671.87245154,0.01094691,0.00227759,0.00000603,3329.00000000,0.01225829,0.000000,0.000000
1609043671.97433734,0.01093393,0.00131607,0.00000343,3334.00000000,0.00749497,0.000000,0.000000
1609043672.07732153,0.01097860,0.00385418,0.00001052,3348.00000000,0.02285921,0.000000,0.000000
1609043672.18040109,0.01095789,0.00069764,0.00000187,3352.00000000,0.00542989,0.000000,0.000000
1609043672.28319454,0.01095240,0.00174418,0.00000451,3358.00000000,0.00947926,0.000000,0.000000
1609043672.38988543,0.01094571,0.00170687,0.00000417,3368.00000000,0.00914698,0.000000,0.000000
1609043672.45717835,0.01092751,0.00099748,0.00000269,3366.00000000,0.00601424,0.000000,0.000000
1609043672.56181550,0.01091345,0.00126110,0.00000327,3374.00000000,0.00710141,0.000000,0.000000
1609043672.66193008,0.01089630,0.00115527,0.00000284,3378.00000000,0.00623368,0.000000,0.000000
1609043672.76588941,0.01093687,0.00384326,0.00001016,3372.00000000,0.02200995,0.000000,0.000000
1609043672.86943960,0.01092312,0.00138656,0.00000344,3374.00000000,0.00715731,0.000000,0.000000
